filters,kernel_size,padding,pool_size,conv_l2,conv_dropout,output_dropout,mse_0
15,5,same,20,0,0,0,1065.445803
15,5,same,20,1,0,0,1066.268126
15,5,same,20,0,0.1,0,1066.977391
15,5,same,20,0,0,0.05,1067.927959
15,5,same,20,1,0.1,0,1068.078928
15,5,same,20,0,0.2,0,1068.430198
15,5,same,20,1,0,0.05,1068.49926
15,5,same,20,0,0.1,0.05,1069.344978
15,5,same,20,1,0.2,0,1069.689132
15,5,valid,20,0,0,0.05,1070.194179
15,5,valid,20,0,0,0,1070.239102
15,5,valid,20,1,0,0,1070.267736
15,5,same,20,1,0.1,0.05,1070.311042
15,5,same,20,0,0.2,0.05,1070.376875
15,5,valid,20,1,0,0.05,1070.597234
15,5,same,20,1,0.2,0.05,1071.151428
15,5,valid,20,0,0.2,0,1071.31202
15,5,valid,20,0,0.1,0,1071.692017
15,5,valid,20,0,0.2,0.05,1071.702477
15,5,same,20,10,0,0,1071.720075
15,5,valid,20,1,0.2,0,1071.766285
15,5,valid,20,1,0.1,0,1071.912219
15,5,valid,20,0,0.1,0.05,1071.953175
15,5,valid,20,1,0.2,0.05,1072.253041
15,5,valid,20,1,0.1,0.05,1072.313135
15,5,same,20,10,0,0.05,1072.529988
15,5,same,20,10,0.1,0,1073.729224
15,5,valid,20,10,0,0.05,1074.329105
15,5,same,20,10,0.1,0.05,1074.529264
15,5,valid,20,10,0,0,1074.686825
15,5,same,20,10,0.2,0,1074.715386
15,5,valid,20,10,0.2,0,1075.047016
15,5,valid,20,10,0.1,0,1075.127741
15,5,valid,20,10,0.2,0.05,1075.188356
15,5,same,20,10,0.2,0.05,1075.602474
15,5,valid,20,10,0.1,0.05,1075.683135
