lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,recurrent_l2,mse_0
20,0.4,0.3,0,0,1077.4736
40,0.4,0.3,0,0,1080.275678
20,0.4,0.3,700,70,1080.629252
20,0.4,0.3,700,0,1080.631959
20,0.4,0.3,70,0,1080.633365
20,0.4,0.3,700,700,1080.638009
20,0.4,0.3,70,70,1080.638247
20,0.4,0.3,70,700,1080.667988
20,0.4,0.3,0,700,1080.670371
20,0.4,0.3,0,70,1080.722728
30,0.4,0.3,700,0,1083.365893
30,0.4,0.3,70,0,1083.370368
30,0.4,0.3,700,70,1083.370518
30,0.4,0.3,700,700,1083.384254
30,0.4,0.3,70,70,1083.386349
30,0.4,0.3,70,700,1083.410021
30,0.4,0.3,0,700,1083.411812
30,0.4,0.3,0,70,1083.440688
40,0.4,0.3,0,70,1084.85578
40,0.4,0.3,0,700,1084.870227
40,0.4,0.3,70,70,1084.873833
40,0.4,0.3,700,700,1084.87575
40,0.4,0.3,700,70,1084.887744
40,0.4,0.3,700,0,1084.889138
40,0.4,0.3,70,700,1084.889702
40,0.4,0.3,70,0,1084.889871
30,0.4,0.3,0,0,1089.65024
