lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,mse_0
20,0.5,0.2,10,1074.307061
20,0.5,0.2,300,1074.324856
20,0.5,0.2,700,1074.785035
20,0.5,0,10,1080.035551
20,0.5,0,700,1080.058921
20,0.5,0,300,1080.061421
20,0.5,0.2,0,1083.706924
20,0.5,0,0,1086.055368
