filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,mse_0
8,3,7,150.0,0.6,650.0,0.2,1093.6463939355701
8,3,7,150.0,0.6,700.0,0.2,1093.6469274340309
8,3,7,150.0,0.6,750.0,0.2,1093.6474554173383
8,3,7,150.0,0.5,650.0,0.2,1093.6511097378884
8,3,7,150.0,0.5,700.0,0.2,1093.6515758722671
8,3,7,150.0,0.5,750.0,0.2,1093.6520061577232
8,3,7,200.0,0.6,650.0,0.2,1093.6500273454344
8,3,7,200.0,0.6,700.0,0.2,1093.6505850927567
8,3,7,200.0,0.6,750.0,0.2,1093.6511053715833
8,3,7,200.0,0.5,650.0,0.2,1093.654258108465
8,3,7,200.0,0.5,700.0,0.2,1093.6547392929428
8,3,7,200.0,0.5,750.0,0.2,1093.6551850826343
8,3,7,250.0,0.6,650.0,0.2,1093.6526948177586
8,3,7,250.0,0.6,700.0,0.2,1093.6532710301205
8,3,7,250.0,0.6,750.0,0.2,1093.6538097654243
8,3,7,250.0,0.5,650.0,0.2,1093.6566078713563
8,3,7,250.0,0.5,700.0,0.2,1093.6570941609643
8,3,7,250.0,0.5,750.0,0.2,1093.657527504011
4,3,7,150.0,0.6,650.0,0.2,1093.717447884538
4,3,7,150.0,0.6,700.0,0.2,1093.7058747928322
4,3,7,150.0,0.6,750.0,0.2,1093.6961451233062
4,3,7,150.0,0.5,650.0,0.2,1093.673934865547
4,3,7,150.0,0.5,700.0,0.2,1093.666767992251
4,3,7,150.0,0.5,750.0,0.2,1093.6608594818904
4,3,7,200.0,0.6,650.0,0.2,1093.6873014061005
4,3,7,200.0,0.6,700.0,0.2,1093.6783836631982
4,3,7,200.0,0.6,750.0,0.2,1093.6709222283505
4,3,7,200.0,0.5,650.0,0.2,1093.6516046811803
4,3,7,200.0,0.5,700.0,0.2,1093.6463335631256
4,3,7,200.0,0.5,750.0,0.2,1093.642029437311
4,3,7,250.0,0.6,650.0,0.2,1093.665747345738
4,3,7,250.0,0.6,700.0,0.2,1093.658841883621
4,3,7,250.0,0.6,750.0,0.2,1093.6530157566665
4,3,7,250.0,0.5,650.0,0.2,1093.6368826488008
4,3,7,250.0,0.5,700.0,0.2,1093.6329578043174
4,3,7,250.0,0.5,750.0,0.2,1093.6297842722834
