filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,mse_0
8,3,7,200,0.6,700,0.2,1093.650585
8,3,7,200,0.6,700,0.1,1093.653288
8,3,7,200,0.4,700,0.2,1093.660659
8,3,7,200,0.4,700,0.1,1093.662187
12,3,7,200,0.6,700,0.2,1093.68578
8,3,4,200,0.6,700,0.2,1093.686647
12,3,7,200,0.6,700,0.1,1093.687986
8,3,4,200,0.6,700,0.1,1093.689075
8,3,4,200,0.4,700,0.2,1093.689672
8,3,4,200,0.4,700,0.1,1093.691317
12,3,7,200,0.4,700,0.2,1093.692153
12,3,7,200,0.4,700,0.1,1093.693364
10,3,7,200,0.4,700,0.1,1093.709047
10,3,7,200,0.4,700,0.2,1093.709382
10,3,7,200,0.6,700,0.2,1093.710158
10,3,7,200,0.6,700,0.1,1093.711238
12,3,4,200,0.6,700,0.2,1093.713334
12,3,4,200,0.4,700,0.2,1093.7158
12,3,4,200,0.4,700,0.1,1093.716768
12,3,4,200,0.6,700,0.1,1093.716874
10,3,4,200,0.6,700,0.2,1093.727637
10,3,4,200,0.6,700,0.1,1093.732028
10,3,4,200,0.4,700,0.2,1093.738861
10,3,4,200,0.4,700,0.1,1093.739409
12,3,2,200,0.6,700,0.2,1093.765223
12,3,2,200,0.6,700,0.1,1093.766127
12,3,2,200,0.4,700,0.2,1093.769092
12,3,2,200,0.4,700,0.1,1093.769143
8,3,2,200,0.6,700,0.2,1093.777604
8,3,2,200,0.4,700,0.2,1093.779305
8,3,2,200,0.6,700,0.1,1093.781166
8,3,2,200,0.4,700,0.1,1093.781471
10,3,2,200,0.4,700,0.2,1093.837915
10,3,2,200,0.4,700,0.1,1093.839435
10,3,2,200,0.6,700,0.2,1093.845582
10,3,2,200,0.6,700,0.1,1093.846205
