lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,mse_0
20,0.5,0.2,700,1074.333296
20,0.5,0.3,700,1074.735998
20,0.4,0.3,700,1076.864208
20,0.4,0.2,700,1077.232397
20,0.5,0.3,0,1080.610966
20,0.5,0.2,0,1083.708398
20,0.4,0.3,0,1088.267373
20,0.4,0.2,0,1088.392764
