hidden_units,hidden_dropout,hidden_l2,output_l2,loss,mse_0
15,0.1,45,20,0.5,1080.115849
15,0.1,35,20,0,1080.681411
15,0.1,40,15,0,1080.74326
15,0.1,35,15,0,1080.761669
15,0.1,45,15,0.5,1080.930601
15,0.1,40,20,0.5,1081.087237
15,0.1,40,20,0,1081.166914
15,0.1,40,15,0.5,1081.265276
15,0.1,45,15,0,1081.52203
15,0.1,45,20,1,1081.565928
15,0.1,45,20,0,1081.623408
15,0.1,35,20,0.5,1081.723037
15,0.1,35,15,0.5,1081.881335
15,0.1,45,15,1,1081.895679
15,0.1,40,20,1,1083.126255
15,0.1,40,15,1,1083.198797
15,0.1,35,20,1,1083.660887
15,0.1,35,15,1,1084.629364
15,0.1,45,20,2,1084.718179
15,0.1,45,15,2,1084.857385
15,0.1,40,20,2,1086.831551
15,0.1,40,15,2,1087.560555
15,0.1,35,20,2,1090.470785
15,0.1,35,15,2,1091.273071
