lstm_units,kernel_dropout,recurrent_dropout,recurrent_l1,recurrent_l2,mse_0
20,0.4,0.3,700,0,1102.123115
20,0.4,0.3,700,70,1102.123144
20,0.4,0.3,70,0,1102.130713
20,0.4,0.3,70,70,1102.140517
20,0.4,0.3,700,700,1102.141005
20,0.4,0.3,0,70,1102.243934
20,0.4,0.3,70,700,1102.247104
20,0.4,0.3,0,700,1102.330228
20,0.4,0.3,0,0,1119.815684
30,0.4,0.3,0,700,1132.720379
30,0.4,0.3,70,700,1132.816052
30,0.4,0.3,700,700,1132.879677
30,0.4,0.3,70,70,1132.891157
30,0.4,0.3,700,70,1132.918051
30,0.4,0.3,700,0,1132.920061
30,0.4,0.3,70,0,1132.922924
30,0.4,0.3,0,70,1133.208663
40,0.4,0.3,70,70,1146.183712
40,0.4,0.3,700,700,1146.188703
40,0.4,0.3,700,70,1146.209606
40,0.4,0.3,70,0,1146.213207
40,0.4,0.3,700,0,1146.21963
40,0.4,0.3,70,700,1146.233976
40,0.4,0.3,0,700,1147.098457
40,0.4,0.3,0,70,1147.626988
30,0.4,0.3,0,0,1184.688679
40,0.4,0.3,0,0,1213.493498
