lstm_units,kernel_dropout,kernel_l1,kernel_l2,recurrent_dropout,recurrent_l1,mse_0
20,0.5,100,0,0.3,10,1015.139497
20,0.5,10,0,0.3,10,1088.768264
20,0.5,0,0,0.3,10,1098.663738
20,0.5,1,0,0.3,10,1110.346638
