filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,mse_0
15,5,20,200,0.5,0,0,1082.86767
12,5,20,200,0.5,0,0,1083.058021
15,5,20,200,0.5,0,0.1,1083.155743
20,5,20,200,0.5,0,0.1,1083.351438
20,5,20,200,0.5,0,0,1083.550978
12,5,20,200,0.5,0,0.1,1083.675497
15,3,20,200,0.5,0,0,1083.978447
12,3,20,200,0.5,0,0,1084.026203
20,3,20,200,0.5,0,0,1084.082441
20,3,20,200,0.5,0,0.1,1084.1926
15,3,20,200,0.5,0,0.1,1084.226732
12,3,20,200,0.5,0,0.1,1084.484876
12,3,20,200,0.5,700,0.1,1084.642243
12,3,20,200,0.5,700,0,1084.642345
15,3,20,200,0.5,700,0,1084.642546
15,3,20,200,0.5,700,0.1,1084.642551
15,3,20,200,0.5,100,0,1084.643986
15,3,20,200,0.5,100,0.1,1084.644028
12,5,20,200,0.5,700,0.1,1084.644327
15,5,20,200,0.5,700,0,1084.644405
15,5,20,200,0.5,700,0.1,1084.644432
12,3,20,200,0.5,100,0.1,1084.644462
12,5,20,200,0.5,700,0,1084.644469
12,3,20,200,0.5,100,0,1084.644987
20,3,20,200,0.5,700,0.1,1084.647207
20,3,20,200,0.5,700,0,1084.64728
15,5,20,200,0.5,100,0,1084.647579
15,5,20,200,0.5,100,0.1,1084.647643
20,5,20,200,0.5,700,0.1,1084.64793
20,5,20,200,0.5,700,0,1084.648015
12,5,20,200,0.5,100,0.1,1084.650152
12,5,20,200,0.5,100,0,1084.650819
20,3,20,200,0.5,100,0.1,1084.652264
20,3,20,200,0.5,100,0,1084.652453
20,5,20,200,0.5,100,0.1,1084.653041
20,5,20,200,0.5,100,0,1084.653197
