hidden_units,hidden_dropout,hidden_l2,output_l2,mse_0
20,0.15,700,10,1029.860036
15,0.15,700,10,1034.224201
25,0.15,700,10,1035.089242
20,0.05,700,10,1036.634762
15,0.05,700,10,1036.774315
20,0.1,700,10,1037.902217
20,0.15,700,0,1037.996905
15,0.1,700,10,1038.062677
15,0.1,700,0,1040.485699
15,0.15,700,0,1040.915887
25,0.1,700,10,1042.66133
15,0.15,400,10,1047.786831
25,0.05,700,10,1048.477044
20,0.1,700,0,1048.728655
15,0.05,700,0,1050.700546
20,0.15,400,10,1050.941758
25,0.15,700,0,1051.791286
25,0.1,700,0,1053.649085
20,0.05,700,0,1055.160024
15,0.1,400,10,1055.521017
25,0.15,400,10,1055.638381
15,0.15,400,0,1061.479112
20,0.15,400,0,1062.040152
25,0.05,700,0,1063.146845
15,0.1,400,0,1063.555907
15,0.05,400,10,1064.733474
20,0.1,400,10,1065.641355
25,0.05,400,10,1067.994317
20,0.05,400,10,1069.12576
25,0.1,400,10,1071.26682
20,0.1,400,0,1073.080636
25,0.15,400,0,1074.287014
15,0.05,400,0,1077.913017
20,0.05,400,0,1092.040422
25,0.1,400,0,1093.363513
25,0.05,400,0,1104.365514
20,0.15,40,10,1238.89002
20,0.15,40,0,1277.017283
15,0.15,40,10,1304.241141
15,0.15,40,0,1334.798348
20,0.1,40,10,1337.201473
25,0.15,40,0,1338.232467
25,0.15,40,10,1357.148295
20,0.1,40,0,1364.370743
15,0.1,40,10,1368.121061
25,0.1,40,10,1387.337918
20,0.05,40,10,1391.959854
15,0.1,40,0,1398.619716
25,0.1,40,0,1426.053514
15,0.05,40,10,1437.914929
20,0.05,40,0,1461.997571
25,0.05,40,10,1466.59756
15,0.05,40,0,1471.93929
25,0.05,40,0,1509.272796
