hidden_units,hidden_dropout,hidden_l2,output_l2,mse_0
20,0.15,400,10,1073.882544
20,0.05,700,0,1074.058018
20,0.05,400,10,1074.096337
20,0.1,400,10,1074.509312
25,0.1,700,0,1074.581345
20,0.05,700,10,1074.803077
15,0.15,700,0,1074.995075
25,0.1,700,10,1075.711064
20,0.1,700,0,1075.914759
25,0.15,400,10,1075.999286
25,0.05,700,10,1076.028382
25,0.1,400,10,1076.17923
25,0.15,700,10,1076.427745
20,0.1,700,10,1076.447569
25,0.05,700,0,1076.539471
20,0.15,700,10,1076.821088
15,0.1,700,10,1076.84515
15,0.1,400,10,1076.862944
20,0.1,400,0,1076.887782
15,0.15,700,10,1076.918162
15,0.15,400,10,1077.129893
20,0.15,700,0,1077.161051
25,0.05,400,10,1077.348947
15,0.1,400,0,1077.622864
20,0.15,400,0,1078.213257
25,0.15,700,0,1078.284442
15,0.05,400,10,1078.476613
15,0.1,700,0,1078.633209
25,0.15,400,0,1079.12273
15,0.05,700,0,1079.299709
25,0.1,400,0,1079.753951
15,0.15,400,0,1079.789932
15,0.05,700,10,1080.284851
15,0.05,400,0,1080.291132
20,0.05,400,0,1081.455793
25,0.05,400,0,1083.053073
15,0.15,40,10,1169.780487
25,0.15,40,10,1178.120957
15,0.15,40,0,1179.731677
15,0.1,40,10,1183.519258
15,0.05,40,10,1189.028893
15,0.1,40,0,1197.368583
25,0.15,40,0,1200.33862
20,0.15,40,10,1202.049643
25,0.1,40,10,1205.798838
15,0.05,40,0,1217.313302
25,0.05,40,10,1221.295045
20,0.15,40,0,1231.470173
20,0.1,40,10,1241.674997
25,0.05,40,0,1247.865387
25,0.1,40,0,1250.537517
20,0.05,40,10,1263.435101
20,0.1,40,0,1274.7276
20,0.05,40,0,1300.353489
