filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_l2,output_droput,mse_0
10,3,300,0.1,20,0.3,0,600,0.1,1082.416293
30,3,300,0.1,20,0.3,0,600,0.1,1106.758514
50,3,300,0.1,20,0.3,0,600,0.1,1111.49586
10,3,300,0.1,50,0.3,0,600,0.1,1148.308701
30,3,300,0.1,50,0.3,0,600,0.1,1160.297282
10,3,300,0.1,60,0.3,0,600,0.1,1164.229852
50,3,300,0.1,50,0.3,0,600,0.1,1191.342943
30,3,300,0.1,60,0.3,0,600,0.1,1198.902412
50,3,300,0.1,60,0.3,0,600,0.1,1219.773809
