filters,kernel_size,padding,pool_size,conv_l2,conv_dropout,output_dropout,output_l2,mse_0
4,3,same,5,0,0,0,10,1084.883997
4,3,same,5,0,0,0,1,1085.329696
4,3,same,5,0,0,0,0,1085.459578
4,5,same,5,0,0,0,10,1087.306788
4,5,same,5,0,0,0,1,1089.075668
4,5,same,5,0,0,0,0,1089.100256
4,3,same,3,0,0,0,10,1091.666596
4,5,same,3,0,0,0,0,1093.798248
4,5,same,3,0,0,0,1,1093.831786
4,5,same,3,0,0,0,10,1094.31748
4,3,same,3,0,0,0,1,1096.527924
4,3,same,3,0,0,0,0,1097.234469
