hidden_units,hidden_dropout,hidden_l2,output_l2,mse_0
10,0.1,20.0,10.0,1110.75503773648
10,0.1,20.0,50.0,1101.9994797607128
10,0.1,20.0,100.0,1099.0143777218234
10,0.1,40.0,10.0,1100.9705020483675
10,0.1,40.0,50.0,1096.1692465958374
10,0.1,40.0,100.0,1096.0926618284002
10,0.1,100.0,10.0,1090.3030568942352
10,0.1,100.0,50.0,1092.3408848932158
10,0.1,100.0,100.0,1094.0427214306203
10,0.1,200.0,10.0,1088.7582768540703
10,0.1,200.0,50.0,1091.377198936389
10,0.1,200.0,100.0,1093.0871609182548
15,0.1,20.0,10.0,1088.786376012683
15,0.1,20.0,50.0,1083.0076857125375
15,0.1,20.0,100.0,1082.563076489452
15,0.1,40.0,10.0,1081.0248264186257
15,0.1,40.0,50.0,1081.8734531390694
15,0.1,40.0,100.0,1085.1410669215406
15,0.1,100.0,10.0,1083.5095892188165
15,0.1,100.0,50.0,1084.5273975568214
15,0.1,100.0,100.0,1087.7856672146938
15,0.1,200.0,10.0,1084.0935347068985
15,0.1,200.0,50.0,1086.3592274999835
15,0.1,200.0,100.0,1089.7306615947195
