filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_dropout,recurrent_l2,output_droput,mse_0
10,3,300,0.1,50,0.3,0,0,600,0.1,1078.134915
10,3,300,0.1,50,0.3,0,0,600,0,1078.384884
10,3,300,0.1,50,0.3,0,0,10,0.1,1078.400278
10,3,300,0.1,50,0.3,0,0,10,0,1078.400278
10,3,300,0.1,40,0.3,0,0,600,0.1,1082.066637
10,3,300,0.1,40,0.3,0,0,600,0,1082.066637
10,3,300,0.1,40,0.3,0,0,10,0.1,1082.892595
10,3,300,0.1,40,0.3,0,0,10,0,1082.892595
5,3,300,0.1,50,0.3,0,0,600,0.1,1084.24187
5,3,300,0.1,50,0.3,0,0,600,0,1084.24187
5,3,300,0.1,50,0.3,0,0,10,0.1,1085.037482
5,3,300,0.1,50,0.3,0,0,10,0,1085.037482
5,3,300,0.1,40,0.3,0,0,600,0.1,1086.841829
5,3,300,0.1,40,0.3,0,0,600,0,1086.841829
5,3,300,0.1,40,0.3,0,0,10,0.1,1087.27377
5,3,300,0.1,40,0.3,0,0,10,0,1087.27377
