filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout,mse_0
4,3,7,600,0.5,800,0.2,1093.603761
4,3,7,600,0.5,1000,0.2,1093.603864
4,3,7,600,0.5,750,0.2,1093.603876
4,3,7,350,0.5,1000,0.2,1093.61051
4,3,7,300,0.5,1000,0.2,1093.614176
4,3,7,350,0.5,800,0.2,1093.614254
4,3,7,350,0.5,750,0.2,1093.615727
4,3,7,300,0.5,800,0.2,1093.619425
4,3,7,250,0.5,1000,0.2,1093.619816
4,3,7,300,0.5,750,0.2,1093.621418
4,3,7,250,0.5,800,0.2,1093.627086
4,3,7,250,0.5,750,0.2,1093.629784
4,3,7,600,0.5,80,0.2,1093.646772
4,3,7,50,0.5,1000,0.2,1093.694316
4,3,7,50,0.5,800,0.2,1093.72026
4,3,7,50,0.5,750,0.2,1093.729618
4,3,7,350,0.5,80,0.2,1093.760818
4,3,7,300,0.5,80,0.2,1093.81147
4,3,7,250,0.5,80,0.2,1093.882783
4,3,7,50,0.5,80,0.2,1094.433518
