hidden_units,hidden_dropout,hidden_l2,output_l2,mse_0
20,0.2,500,10,1072.913191
20,0.2,400,10,1073.511454
20,0.2,500,0,1073.561772
20,0.3,400,0,1073.882891
20,0.2,400,0,1074.097632
20,0.3,400,10,1074.273364
20,0.2,600,0,1074.275259
20,0.4,400,0,1074.296929
20,0.2,600,10,1074.44877
20,0.4,400,10,1074.724014
20,0.3,500,0,1074.761168
20,0.3,600,10,1075.40709
20,0.3,600,0,1075.44462
20,0.3,500,10,1075.719665
20,0.4,500,10,1076.054673
20,0.4,600,0,1076.06983
20,0.4,500,0,1076.102451
20,0.4,600,10,1077.126635
20,0.2,400,100,1078.971798
20,0.3,400,100,1079.268667
20,0.4,400,100,1079.416771
20,0.2,500,100,1080.146678
20,0.3,500,100,1080.345207
20,0.4,500,100,1080.470572
20,0.2,600,100,1081.054588
20,0.3,600,100,1081.062157
20,0.4,600,100,1081.16589
20,0.4,400,300,1083.732668
20,0.3,400,300,1083.871872
20,0.4,500,300,1084.021149
20,0.2,400,300,1084.050486
20,0.3,500,300,1084.145185
20,0.4,600,300,1084.194929
20,0.2,500,300,1084.270965
20,0.3,600,300,1084.287525
20,0.2,600,300,1084.401693
