filters,kernel_size,conv_l2,conv_dropout,lstm_units,kernel_dropout,kernel_l2,recurrent_l2,output_droput,mse_0
10,3,300,0.1,50,0.3,0,600,0.1,1077.422157
10,3,300,0.1,50,0.3,0,600,0,1078.384884
15,3,300,0.1,50,0.3,0,600,0.1,1085.28519
15,3,300,0.1,50,0.3,0,600,0,1085.28519
10,3,0,0.1,50,0.3,0,600,0.1,1101.31388
10,3,0,0.1,50,0.3,0,600,0,1101.31388
15,3,0,0.1,50,0.3,0,600,0.1,1103.17438
15,3,0,0.1,50,0.3,0,600,0,1103.17438
10,3,0,0.1,50,0.3,0,0,0.1,1105.968376
10,3,0,0.1,50,0.3,0,0,0,1105.968376
10,3,300,0.1,50,0.3,0,0,0.1,1106.726229
10,3,300,0.1,50,0.3,0,0,0,1106.726229
15,3,0,0.1,50,0.3,0,0,0.1,1109.142892
15,3,0,0.1,50,0.3,0,0,0,1109.142892
15,3,300,0.1,50,0.3,0,0,0.1,1124.988699
15,3,300,0.1,50,0.3,0,0,0,1124.988699
