lstm_units,kernel_dropout,kernel_l1,kernel_l2,recurrent_dropout,recurrent_l1
20,0.5,0.0,0.0,0.3,10.0
20,0.5,1.0,0.0,0.3,10.0
20,0.5,10.0,0.0,0.3,10.0
20,0.5,100.0,0.0,0.3,10.0
