hidden_units,hidden_dropout,hidden_l2,output_l2
20,0.2,400.0,0.0
20,0.2,400.0,10.0
20,0.2,400.0,100.0
20,0.2,400.0,300.0
20,0.2,500.0,0.0
20,0.2,500.0,10.0
20,0.2,500.0,100.0
20,0.2,500.0,300.0
20,0.2,600.0,0.0
20,0.2,600.0,10.0
20,0.2,600.0,100.0
20,0.2,600.0,300.0
20,0.3,400.0,0.0
20,0.3,400.0,10.0
20,0.3,400.0,100.0
20,0.3,400.0,300.0
20,0.3,500.0,0.0
20,0.3,500.0,10.0
20,0.3,500.0,100.0
20,0.3,500.0,300.0
20,0.3,600.0,0.0
20,0.3,600.0,10.0
20,0.3,600.0,100.0
20,0.3,600.0,300.0
20,0.4,400.0,0.0
20,0.4,400.0,10.0
20,0.4,400.0,100.0
20,0.4,400.0,300.0
20,0.4,500.0,0.0
20,0.4,500.0,10.0
20,0.4,500.0,100.0
20,0.4,500.0,300.0
20,0.4,600.0,0.0
20,0.4,600.0,10.0
20,0.4,600.0,100.0
20,0.4,600.0,300.0
