filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout
4,3,7,50.0,0.5,80.0,0.2
4,3,7,50.0,0.5,750.0,0.2
4,3,7,50.0,0.5,800.0,0.2
4,3,7,50.0,0.5,1000.0,0.2
4,3,7,250.0,0.5,80.0,0.2
4,3,7,250.0,0.5,750.0,0.2
4,3,7,250.0,0.5,800.0,0.2
4,3,7,250.0,0.5,1000.0,0.2
4,3,7,300.0,0.5,80.0,0.2
4,3,7,300.0,0.5,750.0,0.2
4,3,7,300.0,0.5,800.0,0.2
4,3,7,300.0,0.5,1000.0,0.2
4,3,7,350.0,0.5,80.0,0.2
4,3,7,350.0,0.5,750.0,0.2
4,3,7,350.0,0.5,800.0,0.2
4,3,7,350.0,0.5,1000.0,0.2
4,3,7,600.0,0.5,80.0,0.2
4,3,7,600.0,0.5,750.0,0.2
4,3,7,600.0,0.5,800.0,0.2
4,3,7,600.0,0.5,1000.0,0.2
