filters,kernel_size,padding,pool_size,conv_l2,conv_dropout,output_dropout
4,3,same,5,600.0,0.0,0.0
4,3,same,5,600.0,0.0,0.2
4,3,same,5,600.0,0.5,0.0
4,3,same,5,600.0,0.5,0.2
4,3,same,5,0.0,0.0,0.0
4,3,same,5,0.0,0.0,0.2
4,3,same,5,0.0,0.5,0.0
4,3,same,5,0.0,0.5,0.2
4,3,same,7,600.0,0.0,0.0
4,3,same,7,600.0,0.0,0.2
4,3,same,7,600.0,0.5,0.0
4,3,same,7,600.0,0.5,0.2
4,3,same,7,0.0,0.0,0.0
4,3,same,7,0.0,0.0,0.2
4,3,same,7,0.0,0.5,0.0
4,3,same,7,0.0,0.5,0.2
4,3,valid,5,600.0,0.0,0.0
4,3,valid,5,600.0,0.0,0.2
4,3,valid,5,600.0,0.5,0.0
4,3,valid,5,600.0,0.5,0.2
4,3,valid,5,0.0,0.0,0.0
4,3,valid,5,0.0,0.0,0.2
4,3,valid,5,0.0,0.5,0.0
4,3,valid,5,0.0,0.5,0.2
4,3,valid,7,600.0,0.0,0.0
4,3,valid,7,600.0,0.0,0.2
4,3,valid,7,600.0,0.5,0.0
4,3,valid,7,600.0,0.5,0.2
4,3,valid,7,0.0,0.0,0.0
4,3,valid,7,0.0,0.0,0.2
4,3,valid,7,0.0,0.5,0.0
4,3,valid,7,0.0,0.5,0.2
15,3,same,5,600.0,0.0,0.0
15,3,same,5,600.0,0.0,0.2
15,3,same,5,600.0,0.5,0.0
15,3,same,5,600.0,0.5,0.2
15,3,same,5,0.0,0.0,0.0
15,3,same,5,0.0,0.0,0.2
15,3,same,5,0.0,0.5,0.0
15,3,same,5,0.0,0.5,0.2
15,3,same,7,600.0,0.0,0.0
15,3,same,7,600.0,0.0,0.2
15,3,same,7,600.0,0.5,0.0
15,3,same,7,600.0,0.5,0.2
15,3,same,7,0.0,0.0,0.0
15,3,same,7,0.0,0.0,0.2
15,3,same,7,0.0,0.5,0.0
15,3,same,7,0.0,0.5,0.2
15,3,valid,5,600.0,0.0,0.0
15,3,valid,5,600.0,0.0,0.2
15,3,valid,5,600.0,0.5,0.0
15,3,valid,5,600.0,0.5,0.2
15,3,valid,5,0.0,0.0,0.0
15,3,valid,5,0.0,0.0,0.2
15,3,valid,5,0.0,0.5,0.0
15,3,valid,5,0.0,0.5,0.2
15,3,valid,7,600.0,0.0,0.0
15,3,valid,7,600.0,0.0,0.2
15,3,valid,7,600.0,0.5,0.0
15,3,valid,7,600.0,0.5,0.2
15,3,valid,7,0.0,0.0,0.0
15,3,valid,7,0.0,0.0,0.2
15,3,valid,7,0.0,0.5,0.0
15,3,valid,7,0.0,0.5,0.2
