hidden_units,hidden_dropout,hidden_l2,output_l2
15,0.1,25.0,20.0
15,0.1,25.0,25.0
15,0.1,25.0,30.0
15,0.1,25.0,35.0
15,0.1,30.0,20.0
15,0.1,30.0,25.0
15,0.1,30.0,30.0
15,0.1,30.0,35.0
15,0.1,35.0,20.0
15,0.1,35.0,25.0
15,0.1,35.0,30.0
15,0.1,35.0,35.0
