hidden_units,hidden_dropout,hidden_l2,output_l2,loss
15,0.1,35.0,20.0,0.0
15,0.1,35.0,20.0,0.5
15,0.1,35.0,20.0,1.0
15,0.1,35.0,20.0,2.0
15,0.1,35.0,15.0,0.0
15,0.1,35.0,15.0,0.5
15,0.1,35.0,15.0,1.0
15,0.1,35.0,15.0,2.0
15,0.1,40.0,20.0,0.0
15,0.1,40.0,20.0,0.5
15,0.1,40.0,20.0,1.0
15,0.1,40.0,20.0,2.0
15,0.1,40.0,15.0,0.0
15,0.1,40.0,15.0,0.5
15,0.1,40.0,15.0,1.0
15,0.1,40.0,15.0,2.0
15,0.1,45.0,20.0,0.0
15,0.1,45.0,20.0,0.5
15,0.1,45.0,20.0,1.0
15,0.1,45.0,20.0,2.0
15,0.1,45.0,15.0,0.0
15,0.1,45.0,15.0,0.5
15,0.1,45.0,15.0,1.0
15,0.1,45.0,15.0,2.0
