filters,kernel_size,pool_size,conv_l2,conv_dropout,output_l2,output_dropout
8,3,7,150.0,0.6,650.0,0.2
8,3,7,150.0,0.6,700.0,0.2
8,3,7,150.0,0.6,750.0,0.2
8,3,7,150.0,0.5,650.0,0.2
8,3,7,150.0,0.5,700.0,0.2
8,3,7,150.0,0.5,750.0,0.2
8,3,7,200.0,0.6,650.0,0.2
8,3,7,200.0,0.6,700.0,0.2
8,3,7,200.0,0.6,750.0,0.2
8,3,7,200.0,0.5,650.0,0.2
8,3,7,200.0,0.5,700.0,0.2
8,3,7,200.0,0.5,750.0,0.2
8,3,7,250.0,0.6,650.0,0.2
8,3,7,250.0,0.6,700.0,0.2
8,3,7,250.0,0.6,750.0,0.2
8,3,7,250.0,0.5,650.0,0.2
8,3,7,250.0,0.5,700.0,0.2
8,3,7,250.0,0.5,750.0,0.2
4,3,7,150.0,0.6,650.0,0.2
4,3,7,150.0,0.6,700.0,0.2
4,3,7,150.0,0.6,750.0,0.2
4,3,7,150.0,0.5,650.0,0.2
4,3,7,150.0,0.5,700.0,0.2
4,3,7,150.0,0.5,750.0,0.2
4,3,7,200.0,0.6,650.0,0.2
4,3,7,200.0,0.6,700.0,0.2
4,3,7,200.0,0.6,750.0,0.2
4,3,7,200.0,0.5,650.0,0.2
4,3,7,200.0,0.5,700.0,0.2
4,3,7,200.0,0.5,750.0,0.2
4,3,7,250.0,0.6,650.0,0.2
4,3,7,250.0,0.6,700.0,0.2
4,3,7,250.0,0.6,750.0,0.2
4,3,7,250.0,0.5,650.0,0.2
4,3,7,250.0,0.5,700.0,0.2
4,3,7,250.0,0.5,750.0,0.2
